,QueryLabel,TimeStart,TimeStop,Top,Retweet,TweetID,TweetText,Positive Sentiment,Negative Sentiment
33,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,4,5.0,1.0116192435096658e+18,"Metro de Valencia ejecuta 2do traslado de booguies para su mantenimiento y reperfilado, cumpliendo así las líneas del presidente @NicolasMaduro y @TransporteGobVe en el marco del Plan de Alto Impacto #100DiasATodaMaquina que pretende consolidar aun más al sector transporte https://t.co/lPtEHtzGEw",2.0,-1.0
34,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,5,4.0,1.0117582733248717e+18,"🔴Al momento| Llegan unidades reperfiladas del sistema de ruedas de Metro de Valencia, desde la sede del IFE. Dando cumplimiento a las metas trazadas en materia del mantenimiento de  trenes, con el firme propósito de optimizar el servicio.
#100diasdealtoimpacto #PlanAltoImpacto https://t.co/1bc4ruCRcI",3.0,-2.0
35,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,1,38.0,1.011546555998974e+18,q cuco el metro d valència jo no havia vist açò 💜💜 https://t.co/8wgxtsvVtb,1.0,-2.0
36,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,2,5.0,1.0113442472394015e+18,"Me parecía extraño que alguien como Cospedal no utilizase a las víctimas de ETA como arma política.
Ojalá se acordase así de las del ALVIA, Metro de Valencia, YAK42... https://t.co/1sw7WFwuep",1.0,-1.0
37,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,3,4.0,1.0112393485310566e+18,https://t.co/r0lcO8WAwS @metrovalencia @GVAfgv @CERMICV @Cermi_Estatal,1.0,-1.0
38,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,4,4.0,1.0113422379327775e+18,"Se efectua patrullaje con interaccion (PACIN) en la estación del Metro la Cedeño en la ciudad de Valencia, con la finalidad de atender las necesidades de los ciudadanos y brindar seguridad preventiva. #25Jun https://t.co/1v9gKQ7Njc",2.0,-1.0
39,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,5,4.0,1.0113002336685097e+18,via @ahinamendez:  @NEGROGADEA le acaban de robar el tlf a mi esposo en el metro de Valencia y les comunicó para que estén mosca,1.0,-1.0
45,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,1,30.0,1.0031838341653176e+18,Recordatorio. Mañana comienza el Festa!! 🎉🙌💞 Estáis preparados ARMYs? Yo estoy que me muerdo las uñas. Y tengo ganas de ver el cartel en el metro de Madrid 😍🙊 @BTS_twt #BTS #방탄소년단 #FakeLove8thWin,2.0,-1.0
46,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,2,22.0,1.0033043735843594e+18,"✨❤️A todos los ARMYs nuevos❤️✨ Disfrutad muchísimos de este #BTSFESTA2018 😘 Y si sois de España, recordaros que este año y gracias a las chicas @BeyondtheSpain España se suma con un regalazo a ARMY y @BTS_twt al tener marquesina en el metro de Madrid 😍😍",3.0,-1.0
47,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,3,20.0,1.0033516198603366e+18,"@El1escribidor @AtilaAllboys Aquí en España ya murieron 3 trabajadores del metro de Madrid a consecuencia del asbesto, Tanto el imbécil que se acaba de ir de aquí como el que aún está allá son responsables de las muertes españolas como de las que habrá en Argentina",2.0,-2.0
48,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,4,15.0,1.0032243785308447e+18,Según @AEMET_CValencia esta madrugada es el cuarto episodio de lluvias más intenso en Valencia en un mes de junio desde que se registra en la serie histórica @GVA112 @InfoAdif @metrovalencia,3.0,-1.0
49,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,5,11.0,1.0035420142757847e+18,Este miércoles te esperamos para correr y disfrutar juntos el Global @runningday! Solo necesitas zapatillas y ganas! 📅⏰ 6 junio - 19h 📸 19.30 🏃🏻‍♀️🏃🏽‍♂️ 📍 Jardín del Turia (Metro Alameda) 🏁 3-5 km,3.0,-1.0
70,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,1,6.0,1.0035368325024563e+18,.@valenbisi_es pierde abonados por cuarto mes consecutivo y apenas supera los 44.000,2.0,-1.0
71,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,2,2.0,1.004282299645612e+18,"Atenció a la disponibilitat d'Estacions Valenbisi #EVB. Consultar @biciv i davant de poca disponibilitat de bornetes lliures anar amb temps perquè haureu d'aparcar-la en #EVBs allunyades. RECORDEU que al arribar a una Estació i està plena, passeu la targeta i teniu 15' de bonus.. RT @TransitValencia: Recordem que hui continuen les proves d’accès a la Universitat, pel que s’esperen majors desplaçaments i intensitat circulatòria en els accessos a la @UPV i el Campus dels Tarongers. Preveniu desplaçaments 😉 @AjuntamentVLC @emtvalencia #EBAU2018 #EBAU",2.0,-1.0
72,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,3,1.0,1.0032944841201336e+18,@valenbisi_es @emtvalencia @metrovalencia S'ha quedat un dia preciós per anar en bici,1.0,-1.0
73,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,4,1.0,1.0033746115207414e+18,"Buenas noticias desde @AytoAlfafar 😄 Si conocéis buenas noticias del área metropolitana y cercanas a València para ampliar las vías ciclables compartirlo con nosotros, ¡gracias! RT @RedCiudadesBici: Alfafar: El proyecto del carril bici obtiene subvención europea",3.0,-1.0
74,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,5,1.0,1.0025156174365327e+18,@taxivoltereta @joanribo @policialocalvlc @ciclismoafondo Un punto interesante en las Estaciones Valenbisi sería si al elegir un idioma que no sea español / valenciano y/o a los nuevos turistas de corta duración les apareciera consignas de seguridad y educación vial antes de desbloquear las bornetas @ValenbisiOfi @VlcMobilitat,4.0,-2.0
